,track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,Predicted_Like
1,On The Hotline,Pretty Ricky,spotify:track:1zyqZONW985Cs4osz9wlsu,0.7040000000000001,0.8540000000000001,10,-5.477,0,0.183,0.0185,0.0,0.14800000000000002,0.688,92.988,242587,4,41.51106,10,1,0
2,Clouds Of Dementia,Candlemass,spotify:track:6cHZf7RbxXCKwEkgAZT4mY,0.162,0.836,9,-3.009,1,0.0473,0.00011100000000000001,0.00457,0.174,0.3,86.964,338893,4,65.32887,13,0,0
3,"Heavy Metal, Raise Hell!",Zwartketterij,spotify:track:2IjBPp2vMeX7LggzRN3iSX,0.188,0.9940000000000001,4,-3.745,1,0.166,7.39e-06,0.0784,0.192,0.33299999999999996,148.44,255667,4,58.59528,9,0,0
6,Divorced,Blacklisted,spotify:track:0iAdSLiQBIizTAiLUP7p5E,0.365,0.922,1,-2.6439999999999997,1,0.071,0.00285,0.0,0.321,0.29,77.25,89427,4,45.77202,4,0,0
8,Nothin' To Die For,Tim McGraw,spotify:track:3lRSz6HujrSy9b3LXg2Kq9,0.48100000000000004,0.7859999999999999,10,-5.654,1,0.0288,0.0538,0.0,0.0759,0.389,153.105,253640,4,19.65701,11,1,0
12,Gin And Juice,Hot Rod Circuit,spotify:track:1xthH0Ze4FYo2y99QuJUUj,0.455,0.737,1,-6.206,1,0.0272,0.00114,0.000487,0.195,0.20600000000000002,94.02799999999999,224053,4,62.777590000000004,9,0,0
19,Apply Some Pressure,Maximo Park,spotify:track:19503qDaxgCdPL2BhJngij,0.37799999999999995,0.953,9,-3.6319999999999997,1,0.138,0.000719,2.8899999999999998e-05,0.0936,0.512,167.808,200347,4,20.58661,12,0,0
20,It's So Hard,Big Punisher Featuring Donell Jones,spotify:track:5NQdweL8O7nGdM7e4IS1lf,0.9,0.593,10,-6.629,0,0.33299999999999996,0.0554,0.0,0.0304,0.633,92.946,172933,4,21.78144,9,1,0
21,Celtic Pride,The Mahones,spotify:track:2lAbqS3XIaHpZyhwW3pMjg,0.32899999999999996,0.812,2,-11.48,1,0.0872,0.0141,0.0786,0.0603,0.4,165.013,272880,4,97.84874,9,0,0
32,True Rebel,Nitrogenetics,spotify:track:4atXnrsTrNuKSi7DMU5wdY,0.539,0.985,1,-7.354,1,0.126,0.00857,0.12,0.0792,0.127,162.065,363000,4,25.11119,17,0,0
35,Daft Punk Is Playing at My House - Soulwax Shibuya Mix,LCD Soundsystem,spotify:track:7d7l6Qnbnqv9nkuHrh6p1N,0.6579999999999999,0.9540000000000001,9,-5.376,1,0.0792,0.000891,9.800000000000001e-06,0.115,0.486,132.029,411084,3,37.91539,18,0,0
36,Scars,Papa Roach,spotify:track:1UREw2MCfU0xwBzCAjxlUD,0.47100000000000003,0.9359999999999999,11,-3.3539999999999996,1,0.0448,0.0783,0.0,0.171,0.45,89.881,208186,4,22.214129999999997,7,1,0
38,Sound Of Madness,Shinedown,spotify:track:0W9Xvd4Qx1aZPxEi94vgRY,0.32799999999999996,0.9390000000000001,2,-1.6540000000000001,0,0.0423,4.93e-05,0.0065,0.337,0.32899999999999996,185.97099999999998,233987,4,78.255,7,1,0
39,Here I Am,Rick Ross Featuring Nelly & Avery Storm,spotify:track:67yGTWcR72BZvsrSS2dHST,0.746,0.7170000000000001,10,-5.787999999999999,0,0.127,0.18899999999999997,0.0,0.0704,0.475,109.75299999999999,209547,4,38.40043,11,1,0
40,Black Sails At Midnight,Alestorm,spotify:track:5K5lrptyRqoVYYDhADvzSM,0.493,0.977,5,-3.8080000000000003,0,0.151,7.21e-06,0.005379999999999999,0.35600000000000004,0.322,100.02,210987,4,55.87392,10,0,0
