id,Predicted_Like,album,artist_uri,artist,track,url,popularity,release_date,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre agg score
003I0c4UcwPtqOp3rW7Dv7,True,The Best Underground Hip Hop from New York City and Beyond,3SCI7sXHUZIeDKMWC5NT9C,Various Artists,Frog and Toad Are Friends,https://open.spotify.com/track/003I0c4UcwPtqOp3rW7Dv7,2,2015-03-24,2015,0.67,0.918,10,-6.318,0,0.37,0.0127,0.0,0.872,0.678,159.803,251947,4,7.0
003eoIwxETJujVWmNFMoZy,True,Growing Pains,2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,Growing Pains,https://open.spotify.com/track/003eoIwxETJujVWmNFMoZy,56,2018-06-15,2018,0.353,0.755,1,-6.276,0,0.733,0.0822,0.0,0.39,0.437,191.153,193680,4,15.0
00NAQYOP4AmWR549nnYJZu,True,Starboy,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,Secrets,https://open.spotify.com/track/00NAQYOP4AmWR549nnYJZu,71,2016-11-25,2016,0.664,0.771,0,-5.779,1,0.0533,0.0155,9.6e-06,0.46,0.763,109.945,265600,4,8.0
0197MM7KafA2j9cC425mdd,True,Blue Sparks,05c6W2NfXx6jxO28OGfPRA,Larry Sparks,Imitation Of The Blues,https://open.spotify.com/track/0197MM7KafA2j9cC425mdd,4,2011-10-30,2011,0.605,0.252,0,-12.482,1,0.0371,0.802,0.0455,0.0691,0.413,120.859,179480,4,14.0
01iH3JPmssBG2T1EEvy9sc,True,A Decade With Duke,4hRBjeemQ2NVkMIcaN9n3g,Eau Claire Memorial Jazz I,Lump Sum,https://open.spotify.com/track/01iH3JPmssBG2T1EEvy9sc,37,2009-12-08,2009,0.326,0.422,6,-15.205,0,0.0474,0.904,0.766,0.686,0.265,133.621,401720,4,7.0
01mWFDRL40UlnbOXya5gqm,True,It's Not Over....The Hits So Far,5P5FTygHyx2G57oszR3Wot,Daughtry,Waiting for Superman,https://open.spotify.com/track/01mWFDRL40UlnbOXya5gqm,62,2006,2006,0.558,0.667,0,-6.041,1,0.0265,0.00276,0.0,0.0641,0.402,105.991,267333,4,1.0
01uqI4H13Gsd8Lyl1EYd8H,True,The Heist,5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,Same Love - feat. Mary Lambert,https://open.spotify.com/track/01uqI4H13Gsd8Lyl1EYd8H,68,2012-10-09,2012,0.688,0.473,8,-9.059,1,0.167,0.716,4.46e-05,0.104,0.299,84.958,318525,4,8.0
023OVLNzXhX0j7CxswUt6D,True,Me 4 U,5MouCg6ta7zAxsfMEbc1uh,OMI,Cheerleader - Felix Jaehn Remix Radio Edit,https://open.spotify.com/track/023OVLNzXhX0j7CxswUt6D,66,2015-10-16,2015,0.78,0.68,4,-6.081,1,0.0305,0.141,1.2e-05,0.138,0.594,118.026,180560,4,4.0
02RjeZNfU1hEicU6sZVT4J,True,Double Cup,4zGBj9dI63YIWmZkPl3o7V,DJ Rashad,Feelin (feat. Spinn & Taso),https://open.spotify.com/track/02RjeZNfU1hEicU6sZVT4J,25,2014-07-01,2014,0.374,0.836,4,-7.503,1,0.0738,0.000115,0.737,0.346,0.0937,79.916,270815,4,1.0
02acUMylPHMjJ9miDc9b38,True,Something to Be,3aBkeBhwadnWMWoVJ2CxJC,Rob Thomas,Ever the Same,https://open.spotify.com/track/02acUMylPHMjJ9miDc9b38,60,2005-04-05,2005,0.435,0.729,1,-4.818,0,0.0307,0.0152,2.63e-05,0.11,0.524,188.017,256600,4,10.0
02uRToy7bttYcKCO3vIStA,True,SB2,179BpmLkQCRIoU68Co80f5,Gramatik,Hit That Jive,https://open.spotify.com/track/02uRToy7bttYcKCO3vIStA,54,2009-12-09,2009,0.896,0.684,1,-6.099,1,0.0731,0.0461,0.051,0.164,0.686,99.995,203051,4,10.0
03R6JBjwjmzjYXzsbJdulv,True,"I'll Forgive You For Throwing That Rock, Cos That Dance Was Kinda Funny",5TUa95aB5Vu2CzwCnZd6t0,TTNG,"I'll Forgive You For Throwing That Rock, Cos That Dance Was Kinda Funny",https://open.spotify.com/track/03R6JBjwjmzjYXzsbJdulv,6,2008-04-08,2008,0.385,0.388,10,-11.672,1,0.0294,0.387,0.00503,0.0983,0.324,130.867,183200,3,9.0
042tRjJqpEqk5ogfucG4cI,True,Not Of This Earth,2yzxX2DI9LFK8VFTyW2zZ8,Joe Satriani,Hordes of Locusts,https://open.spotify.com/track/042tRjJqpEqk5ogfucG4cI,21,1986-12-18,1986,0.591,0.767,11,-5.441,1,0.0241,0.00543,0.349,0.167,0.729,93.884,298533,4,5.0
05Q8DT8pyXJrxI6kCLzjdh,True,Too Cool To Care,1ZKqrja0WvbSssYNFO3lzs,New Boyz,Break My Bank (feat. Iyaz),https://open.spotify.com/track/05Q8DT8pyXJrxI6kCLzjdh,37,2011-05-13,2011,0.742,0.762,8,-4.043,1,0.0575,0.0202,0.0,0.0921,0.367,91.009,177253,4,13.0
05XyWJJz3TsKidix2grzcI,True,"Inner City Hip Hop, Vol. 3",1n861RIk6CTAWncgHR9UHg,Various Artists,No Regrets,https://open.spotify.com/track/05XyWJJz3TsKidix2grzcI,1,2019-10-12,2019,0.447,0.943,10,-3.009,1,0.196,0.1,4.11e-05,0.309,0.532,180.523,218044,4,9.0
05mDaV9Vb3wrzjF6OPZnhq,True,Hollywood's Bleeding,246dkjvS1zLTtiykXe5h60,Post Malone,Saint-Tropez,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq,79,2019-09-06,2019,0.617,0.684,0,-3.618,1,0.0439,0.0545,0.0,0.104,0.295,132.113,150867,4,20.0
05rbTsgovBYa0JIund4MrS,True,SB2,179BpmLkQCRIoU68Co80f5,Gramatik,Tearin' It Up,https://open.spotify.com/track/05rbTsgovBYa0JIund4MrS,42,2009-12-09,2009,0.843,0.889,9,-4.385,0,0.135,0.0965,0.115,0.0389,0.556,106.938,256438,4,10.0
066H3CmDCFuQU1fwsecCDc,True,A Different Me,1vfezMIyCr4XUdYRaKIKi3,Keyshia Cole,Trust,https://open.spotify.com/track/066H3CmDCFuQU1fwsecCDc,51,2008-01-01,2008,0.4,0.613,3,-4.697,0,0.0405,0.231,0.0,0.0856,0.567,141.286,253320,4,5.0
067sYyLu6IdRP5bCubdSfl,True,Enrique,7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,Rhythm Divine,https://open.spotify.com/track/067sYyLu6IdRP5bCubdSfl,45,1999-11-23,1999,0.622,0.97,9,-2.722,0,0.156,0.13,0.0,0.188,0.429,102.025,209467,4,8.0
06G1SCVVYRSDCFGMSnDvpv,True,Human,05oH07COxkXKIMt6mIPRee,Brandy,Right Here (Departed),https://open.spotify.com/track/06G1SCVVYRSDCFGMSnDvpv,50,2008-12-08,2008,0.568,0.682,8,-5.781,1,0.0439,0.256,0.0,0.231,0.366,92.99,217947,4,13.0
06KkYeqHeM9S4zFty9c1Aw,True,Ernst,4NGiEU3Pkd8ASRyQR30jcA,Matt Nathanson,We'll Recover,https://open.spotify.com/track/06KkYeqHeM9S4zFty9c1Aw,7,1997,1997,0.537,0.458,6,-8.739,1,0.0314,0.321,0.0,0.107,0.419,111.972,192067,4,18.0
