id,Predicted_Like,album,artist_uri,artist,track,url,popularity,release_date,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre agg score
00XZDMKmcuwxSNqWZ1iEYS,False,Devil Between My Toes,4oV5EVJ0XFWsJKoOvdRPvl,Guided By Voices,A Portrait Destroyed By Fire,https://open.spotify.com/track/00XZDMKmcuwxSNqWZ1iEYS,9,1987,1987,0.413,0.864,9,-7.434,1,0.0642,0.487,0.0712,0.18,0.189,107.147,309600,4,291.0
01MBhRpvFkbeRwAp7gcF2W,False,Guero,3vbKDsSS70ZX9D2OcvbZmS,Beck,E-Pro,https://open.spotify.com/track/01MBhRpvFkbeRwAp7gcF2W,54,2005-01-01,2005,0.624,0.959,11,-6.253,0,0.0769,0.00133,0.171,0.101,0.69,95.794,202360,4,242.0
01NRpu9CeEx4DqiDjG20PA,False,"Shouted, Written Down & Quoted",33bzrYoIWLx5uox3y0VtHn,Greensky Bluegrass,Miss September,https://open.spotify.com/track/01NRpu9CeEx4DqiDjG20PA,40,2016-09-23,2016,0.612,0.649,2,-7.101,1,0.0312,0.55,0.000862,0.0858,0.613,97.989,240719,4,301.0
036xR1iWc38PTkNtjb3U5L,False,Strange House,7EFB09NxZrMi9pGlOnuBpd,The Horrors,Jack The Ripper,https://open.spotify.com/track/036xR1iWc38PTkNtjb3U5L,15,2007-03-05,2007,0.157,0.922,0,-6.494,1,0.086,2.99e-06,0.575,0.273,0.163,101.964,179813,4,409.0
03gKdAQAswBo7v4p8F1An4,False,You Forgot It In People,7lOJ7WXyopaxri0dbOiZkd,Broken Social Scene,Pacific Theme,https://open.spotify.com/track/03gKdAQAswBo7v4p8F1An4,46,2003-03-11,2003,0.723,0.703,0,-9.495,1,0.0318,0.0272,0.313,0.0979,0.767,129.725,309187,4,697.0
047fCsbO4NdmwCBn8pcUXl,False,Take Care (Deluxe),3TVXtAsR1Inumwj472S9r4,Drake,Marvins Room,https://open.spotify.com/track/047fCsbO4NdmwCBn8pcUXl,74,2011-11-15,2011,0.492,0.26,9,-17.341,0,0.0921,0.646,0.00178,0.0705,0.312,111.519,347227,5,344.0
0491EjDNDRRwo9mBCsLaAX,False,Bee Thousand,4oV5EVJ0XFWsJKoOvdRPvl,Guided By Voices,Smothered In Hugs,https://open.spotify.com/track/0491EjDNDRRwo9mBCsLaAX,31,1994-01-21,1994,0.259,0.691,5,-10.332,1,0.0454,0.000817,0.452,0.634,0.396,112.232,180000,4,291.0
04NGX0b5Tgs7VsErfn5OA1,False,This Type Of Thinking (Could Do Us In),56dO9zeHKuU5Gvfc2kxHNw,Chevelle,Vitamin R (Leading Us Along),https://open.spotify.com/track/04NGX0b5Tgs7VsErfn5OA1,56,2004-09-21,2004,0.481,0.88,4,-4.55,1,0.0717,0.00465,6.02e-05,0.204,0.289,95.023,223173,3,206.0
07Blirr9VNKzDIuK3E62BU,False,Kill Rock Stars Sampler 2009,4wLIbcoqmqI4WZHDiBxeCB,Various Artists,Oh,https://open.spotify.com/track/07Blirr9VNKzDIuK3E62BU,2,2009-07-07,2009,0.333,0.947,6,-4.289,1,0.103,0.145,0.0,0.0937,0.548,148.77,238267,4,299.0
09QZAEmdbq28OaNyqTOEvY,False,Icky Thump,4F84IBURUo98rz4r61KF70,The White Stripes,Icky Thump,https://open.spotify.com/track/09QZAEmdbq28OaNyqTOEvY,60,2007-06-15,2007,0.424,0.632,9,-7.243,1,0.0922,0.021,0.0117,0.0545,0.356,97.694,254533,4,209.0
