uri,album,artist_uri,artist,track,url,popularity,added_at,release_date,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,genre score,Liked
spotify:track:0ey9VL7lFerteaCVvahKYV,Forgiveness Rock Record,7lOJ7WXyopaxri0dbOiZkd,Broken Social Scene,Sweetest Kill,https://open.spotify.com/track/0ey9VL7lFerteaCVvahKYV,53,2020-03-12T22:40:03Z,2010-05-04,2010,0.709,0.384,5,-12.427,1,0.0301,0.0893,0.848,0.0961,0.691,87.961,audio_features,0ey9VL7lFerteaCVvahKYV,https://api.spotify.com/v1/tracks/0ey9VL7lFerteaCVvahKYV,https://api.spotify.com/v1/audio-analysis/0ey9VL7lFerteaCVvahKYV,309307,4,494.0,1
spotify:track:03gKdAQAswBo7v4p8F1An4,You Forgot It In People,7lOJ7WXyopaxri0dbOiZkd,Broken Social Scene,Pacific Theme,https://open.spotify.com/track/03gKdAQAswBo7v4p8F1An4,46,2020-06-13T21:26:33Z,2003-03-11,2003,0.723,0.703,0,-9.495,1,0.0318,0.0272,0.313,0.0979,0.767,129.725,audio_features,03gKdAQAswBo7v4p8F1An4,https://api.spotify.com/v1/tracks/03gKdAQAswBo7v4p8F1An4,https://api.spotify.com/v1/audio-analysis/03gKdAQAswBo7v4p8F1An4,309187,4,494.0,1
spotify:track:7ywp9MWERblgkSMoMBugC0,Holiday,6RWjTQqILL7a1tQ0VapyLK,The Magnetic Fields,Strange Powers,https://open.spotify.com/track/7ywp9MWERblgkSMoMBugC0,51,2019-11-03T17:42:52Z,1994,1994,0.668,0.677,0,-8.154,1,0.0318,0.526,2.43e-05,0.129,0.963,131.767,audio_features,7ywp9MWERblgkSMoMBugC0,https://api.spotify.com/v1/tracks/7ywp9MWERblgkSMoMBugC0,https://api.spotify.com/v1/audio-analysis/7ywp9MWERblgkSMoMBugC0,161613,4,457.0,1
spotify:track:0iTpQYzJnYgh7kIxyq8A2O,Veckatimest,2Jv5eshHtLycR6R8KQCdc4,Grizzly Bear,Two Weeks,https://open.spotify.com/track/0iTpQYzJnYgh7kIxyq8A2O,69,2019-11-03T17:35:40Z,2009-05-24,2009,0.537,0.712,5,-5.597,1,0.0286,0.289,0.00568,0.08,0.704,159.871,audio_features,0iTpQYzJnYgh7kIxyq8A2O,https://api.spotify.com/v1/tracks/0iTpQYzJnYgh7kIxyq8A2O,https://api.spotify.com/v1/audio-analysis/0iTpQYzJnYgh7kIxyq8A2O,243160,4,447.0,1
spotify:track:0szSOfZVM3G5mWI1ogQjr7,Painted Ruins,2Jv5eshHtLycR6R8KQCdc4,Grizzly Bear,Mourning Sound,https://open.spotify.com/track/0szSOfZVM3G5mWI1ogQjr7,53,2019-11-03T17:41:44Z,2017-08-18,2017,0.507,0.737,7,-6.332,1,0.0624,0.15,0.159,0.122,0.441,128.015,audio_features,0szSOfZVM3G5mWI1ogQjr7,https://api.spotify.com/v1/tracks/0szSOfZVM3G5mWI1ogQjr7,https://api.spotify.com/v1/audio-analysis/0szSOfZVM3G5mWI1ogQjr7,262107,4,447.0,1
spotify:track:6xAa0kGkTLU22ZyoHOCHgi,Z,43O3c6wewpzPKwVaGEEtBM,My Morning Jacket,Wordless Chorus,https://open.spotify.com/track/6xAa0kGkTLU22ZyoHOCHgi,56,2020-03-13T11:14:42Z,2005-10-04,2005,0.824,0.377,2,-9.222,1,0.0436,0.107,0.604,0.11,0.779,116.342,audio_features,6xAa0kGkTLU22ZyoHOCHgi,https://api.spotify.com/v1/tracks/6xAa0kGkTLU22ZyoHOCHgi,https://api.spotify.com/v1/audio-analysis/6xAa0kGkTLU22ZyoHOCHgi,252760,4,442.0,1
spotify:track:2CRjfe8gLYosdjwT5m84KA,Z,43O3c6wewpzPKwVaGEEtBM,My Morning Jacket,Wordless Chorus,https://open.spotify.com/track/2CRjfe8gLYosdjwT5m84KA,0,2018-05-21T16:19:50Z,2005-10-04,2005,0.824,0.377,2,-9.222,1,0.0436,0.107,0.604,0.11,0.779,116.342,audio_features,2CRjfe8gLYosdjwT5m84KA,https://api.spotify.com/v1/tracks/2CRjfe8gLYosdjwT5m84KA,https://api.spotify.com/v1/audio-analysis/2CRjfe8gLYosdjwT5m84KA,252760,4,442.0,1
spotify:track:5boh3WTOJ1aOF6uUEF4HPh,It Still Moves,43O3c6wewpzPKwVaGEEtBM,My Morning Jacket,One Big Holiday,https://open.spotify.com/track/5boh3WTOJ1aOF6uUEF4HPh,53,2019-11-06T03:01:11Z,2003-09-09,2003,0.412,0.917,9,-7.036,0,0.0525,0.0925,0.0143,0.24,0.313,136.85,audio_features,5boh3WTOJ1aOF6uUEF4HPh,https://api.spotify.com/v1/tracks/5boh3WTOJ1aOF6uUEF4HPh,https://api.spotify.com/v1/audio-analysis/5boh3WTOJ1aOF6uUEF4HPh,321373,4,442.0,1
spotify:track:6Ew3AXTWdNVFjHila1Xshp,Evil Urges,43O3c6wewpzPKwVaGEEtBM,My Morning Jacket,Evil Urges,https://open.spotify.com/track/6Ew3AXTWdNVFjHila1Xshp,37,2020-03-13T11:18:05Z,2008-06-10,2008,0.453,0.895,7,-6.069,1,0.0412,0.0699,6.76e-05,0.16,0.452,133.917,audio_features,6Ew3AXTWdNVFjHila1Xshp,https://api.spotify.com/v1/tracks/6Ew3AXTWdNVFjHila1Xshp,https://api.spotify.com/v1/audio-analysis/6Ew3AXTWdNVFjHila1Xshp,311840,4,442.0,1
spotify:track:6S6yazc6ThHZdRCXcV6CoC,Evil Urges,43O3c6wewpzPKwVaGEEtBM,My Morning Jacket,"Touch Me I'm Going To Scream, Pt. 1",https://open.spotify.com/track/6S6yazc6ThHZdRCXcV6CoC,37,2020-03-13T11:18:25Z,2008-06-10,2008,0.52,0.779,6,-7.56,0,0.0332,0.00336,0.0487,0.139,0.678,160.626,audio_features,6S6yazc6ThHZdRCXcV6CoC,https://api.spotify.com/v1/tracks/6S6yazc6ThHZdRCXcV6CoC,https://api.spotify.com/v1/audio-analysis/6S6yazc6ThHZdRCXcV6CoC,229147,4,442.0,1
spotify:track:0RnxXejltqoVbgjCDjkw9B,Z,43O3c6wewpzPKwVaGEEtBM,My Morning Jacket,It Beats For You,https://open.spotify.com/track/0RnxXejltqoVbgjCDjkw9B,0,2018-05-21T16:20:06Z,2005-10-04,2005,0.526,0.848,0,-6.192,0,0.0278,0.0633,0.442,0.27,0.772,144.227,audio_features,0RnxXejltqoVbgjCDjkw9B,https://api.spotify.com/v1/tracks/0RnxXejltqoVbgjCDjkw9B,https://api.spotify.com/v1/audio-analysis/0RnxXejltqoVbgjCDjkw9B,226973,4,442.0,1
spotify:track:0l9HpdPDaArvkeM2VUIoIW,Z,43O3c6wewpzPKwVaGEEtBM,My Morning Jacket,Knot Comes Loose,https://open.spotify.com/track/0l9HpdPDaArvkeM2VUIoIW,0,2018-05-21T16:20:06Z,2005-10-04,2005,0.527,0.263,5,-10.574,1,0.0242,0.88,0.298,0.0906,0.191,86.874,audio_features,0l9HpdPDaArvkeM2VUIoIW,https://api.spotify.com/v1/tracks/0l9HpdPDaArvkeM2VUIoIW,https://api.spotify.com/v1/audio-analysis/0l9HpdPDaArvkeM2VUIoIW,242667,4,442.0,1
spotify:track:0J4q07RCARkMMpoA61ZGQe,Okonokos,43O3c6wewpzPKwVaGEEtBM,My Morning Jacket,It Beats 4 U,https://open.spotify.com/track/0J4q07RCARkMMpoA61ZGQe,27,2020-03-13T11:19:39Z,2006-06-26,2006,0.422,0.974,7,-4.733,0,0.0676,0.0185,0.595,0.977,0.638,144.201,audio_features,0J4q07RCARkMMpoA61ZGQe,https://api.spotify.com/v1/tracks/0J4q07RCARkMMpoA61ZGQe,https://api.spotify.com/v1/audio-analysis/0J4q07RCARkMMpoA61ZGQe,266587,4,442.0,1
spotify:track:2zS9DQ5hYnFmzjJGur4Mvo,Z,43O3c6wewpzPKwVaGEEtBM,My Morning Jacket,Anytime,https://open.spotify.com/track/2zS9DQ5hYnFmzjJGur4Mvo,0,2018-05-21T16:20:06Z,2005-10-04,2005,0.474,0.813,3,-4.566,1,0.076,0.049,0.000232,0.118,0.423,134.847,audio_features,2zS9DQ5hYnFmzjJGur4Mvo,https://api.spotify.com/v1/tracks/2zS9DQ5hYnFmzjJGur4Mvo,https://api.spotify.com/v1/audio-analysis/2zS9DQ5hYnFmzjJGur4Mvo,236000,4,442.0,1
spotify:track:4u1D4h0TixOJbHrAEJG4Ce,It Still Moves (Deluxe Reissue),43O3c6wewpzPKwVaGEEtBM,My Morning Jacket,One Big Holiday,https://open.spotify.com/track/4u1D4h0TixOJbHrAEJG4Ce,39,2020-03-13T11:20:49Z,2016-05-27,2016,0.392,0.969,9,-4.43,0,0.0644,0.0235,0.0665,0.305,0.383,137.021,audio_features,4u1D4h0TixOJbHrAEJG4Ce,https://api.spotify.com/v1/tracks/4u1D4h0TixOJbHrAEJG4Ce,https://api.spotify.com/v1/audio-analysis/4u1D4h0TixOJbHrAEJG4Ce,320787,4,442.0,1
spotify:track:7Jvm7xMoVVfoimbJKAqhDQ,Evil Urges,43O3c6wewpzPKwVaGEEtBM,My Morning Jacket,Thank You Too!,https://open.spotify.com/track/7Jvm7xMoVVfoimbJKAqhDQ,38,2020-03-13T11:18:53Z,2008-06-10,2008,0.454,0.761,2,-6.75,1,0.0331,0.00842,1.56e-05,0.246,0.521,148.161,audio_features,7Jvm7xMoVVfoimbJKAqhDQ,https://api.spotify.com/v1/tracks/7Jvm7xMoVVfoimbJKAqhDQ,https://api.spotify.com/v1/audio-analysis/7Jvm7xMoVVfoimbJKAqhDQ,266893,4,442.0,1
spotify:track:3kQDykkw9HVowlm3HxTcuR,It Still Moves,43O3c6wewpzPKwVaGEEtBM,My Morning Jacket,Golden,https://open.spotify.com/track/3kQDykkw9HVowlm3HxTcuR,58,2020-06-10T14:25:13Z,2003-09-09,2003,0.566,0.479,5,-11.128,1,0.0254,0.229,0.00388,0.357,0.28,109.748,audio_features,3kQDykkw9HVowlm3HxTcuR,https://api.spotify.com/v1/tracks/3kQDykkw9HVowlm3HxTcuR,https://api.spotify.com/v1/audio-analysis/3kQDykkw9HVowlm3HxTcuR,279240,4,442.0,1
